City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
229,malindi,-3.2175,40.1191,297.66,86,34,3.22,KE,1675818410
230,marystown,47.1666,-55.1483,268.87,73,100,11.42,CA,1675818410
231,kalanguy,51.0167,116.5167,250.81,100,98,1.16,RU,1675818410
232,lock haven,41.137,-77.4469,278.65,95,100,1.75,US,1675818411
233,tabas,33.5959,56.9244,285.66,65,0,3.81,IR,1675818411
234,kavieng,-2.5744,150.7967,300.74,79,100,3.89,PG,1675818411
235,acapulco,16.8634,-99.8901,300.05,69,20,4.63,MX,1675818412
236,kaitangata,-46.2817,169.8464,287.72,54,11,7.13,NZ,1675818412
237,port lincoln,-34.7333,135.8667,295.83,62,7,5.11,AU,1675818413
238,biak,-0.9131,122.8766,298.87,80,100,2.25,ID,1675818306
239,malakal,9.5334,31.6605,297.33,16,0,4.33,SS,1675818413
240,casa grande,32.8795,-111.7573,290.83,24,0,4.12,US,1675818343
241,hirara,24.8,125.2833,294.36,72,92,7.32,JP,1675818413
242,changping,40.2186,116.2197,271.95,46,5,1.87,CN,1675818414
243,gloversville,43.0528,-74.3438,274.17,85,100,0.0,US,1675818208
244,grand gaube,-20.0064,57.6608,297.8,83,36,1.34,MU,1675818414
245,cabo san lucas,22.8909,-109.9124,296.76,59,40,3.09,MX,1675817657
246,clyde river,70.4692,-68.5914,238.12,97,93,1.28,CA,1675818415
247,asuncion,-25.3007,-57.6359,303.09,61,97,2.57,PY,1675818231
248,berasia,23.6333,77.4333,286.38,37,0,2.06,IN,1675818415
249,mzimba,-11.9,33.6,289.56,97,98,2.47,MW,1675818416
250,quelimane,-17.8786,36.8883,296.84,94,98,1.78,MZ,1675818416
251,bolobo,-2.1667,16.2333,295.85,82,75,1.39,CD,1675818416
252,saint george,37.1041,-113.5841,283.85,40,0,4.12,US,1675818171
253,kloulklubed,7.0419,134.2556,301.43,77,100,8.18,PW,1675818417
254,olafsvik,64.8945,-23.7142,270.8,57,100,12.84,IS,1675818417
255,rafaela,-31.2503,-61.4867,304.26,31,0,3.12,AR,1675818418
256,villabate,38.0762,13.4449,280.91,50,100,0.89,IT,1675818418
257,hofn,64.2539,-15.2082,273.58,61,100,9.83,IS,1675818233
258,nanakuli,21.3906,-158.1547,300.12,59,75,8.23,US,1675818418
259,ramhormoz,31.28,49.6035,285.16,54,0,1.95,IR,1675818419
260,vila franca do campo,37.7167,-25.4333,286.38,81,95,4.49,PT,1675818207
261,yabrud,33.9674,36.6574,270.8,74,24,7.57,SY,1675818419
262,berezovyy,51.6667,135.7,251.25,87,93,0.46,RU,1675818420
263,gundorovskiy,46.7805,41.8968,266.44,77,100,7.89,RU,1675818420
264,wakefield,53.6809,-1.499,279.28,87,13,1.25,GB,1675818420
265,praia da vitoria,38.7333,-27.0667,285.79,77,100,5.89,PT,1675818421
266,san policarpo,12.1791,125.5072,300.09,76,100,6.91,PH,1675818421
267,mujiayingzi,42.1167,118.7833,265.83,34,0,2.64,CN,1675818360
268,grand baie,-20.0182,57.5802,297.84,83,58,1.34,MU,1675818423
269,ahtopol,42.1,27.95,273.11,73,97,7.66,BG,1675818424
270,vila,42.0304,-8.1588,274.64,80,45,4.77,PT,1675818428
271,rundu,-17.9333,19.7667,291.18,93,100,1.48,NA,1675818453
272,narsaq,60.9167,-46.05,251.27,66,0,3.53,GL,1675818239
273,ulladulla,-35.35,150.4667,292.52,85,100,2.07,AU,1675818455
274,gitega,-3.5,29.95,288.28,92,94,1.69,BI,1675818455
275,vanavara,60.34,102.2797,253.61,99,100,1.03,RU,1675818461
276,lucea,18.451,-78.1736,298.07,79,0,6.65,JM,1675818462
277,villazon,-22.0866,-65.5942,284.06,64,100,5.29,BO,1675818468
278,wangqing,43.3218,129.7634,264.2,70,12,1.3,CN,1675818469
279,guerrero negro,27.9769,-114.0611,293.55,23,0,1.78,MX,1675818470
280,virginia beach,36.8529,-75.978,284.27,70,75,3.6,US,1675818470
281,touros,-5.1989,-35.4608,299.41,71,100,5.59,BR,1675818414
282,awjilah,29.1081,21.2869,282.96,58,85,3.39,LY,1675818471
283,dongkan,33.9997,119.8308,279.82,63,100,4.98,CN,1675818471
284,mount isa,-20.7333,139.5,304.02,58,40,4.12,AU,1675818472
285,norman wells,65.282,-126.8329,251.17,71,75,1.03,CA,1675818225
286,hami,42.8,93.45,273.55,63,100,0.43,CN,1675818472
287,dingle,10.9995,122.6711,299.39,79,100,5.33,PH,1675818472
288,longyearbyen,78.2186,15.6401,268.06,80,75,8.23,SJ,1675818217
289,thompson,55.7435,-97.8558,257.24,78,100,1.54,CA,1675818473
290,cayenne,4.9333,-52.3333,298.17,94,75,0.0,GF,1675818316
291,biloela,-24.4167,150.5,303.13,38,57,6.5,AU,1675818473
292,mahanoro,-19.9,48.8,295.82,92,100,2.2,MG,1675818474
293,basco,20.4487,121.9702,298.18,76,2,8.16,PH,1675818474
294,steinbach,50.1667,8.5667,273.72,80,0,2.57,DE,1675818475
295,katsuura,35.1333,140.3,283.97,71,97,7.68,JP,1675818475
296,mumford,5.2618,-0.759,298.87,90,53,3.08,GH,1675818475
297,los llanos de aridane,28.6585,-17.9182,286.01,79,0,3.13,ES,1675818411
298,dawson creek,55.7666,-120.2362,268.84,85,100,1.12,CA,1675818476
299,mena,51.5217,32.2157,262.69,93,6,2.43,UA,1675818476
300,tatawin,32.9297,10.4518,284.05,56,100,5.66,TN,1675818476
301,fallon,39.4735,-118.7774,280.08,52,75,2.06,US,1675818477
302,la ligua,-32.4524,-71.2311,293.74,69,0,1.43,CL,1675818477
303,hasaki,35.7333,140.8333,283.83,70,100,10.33,JP,1675818477
304,matehuala,23.65,-100.65,292.93,15,44,1.78,MX,1675818478
305,kahului,20.8947,-156.47,300.16,72,40,9.26,US,1675818240
306,ambulu,-8.345,113.6058,298.06,87,100,1.41,ID,1675818478
307,zlitan,32.4674,14.5687,285.19,65,51,6.94,LY,1675818479
308,pundaguitan,6.3711,126.1689,299.24,76,100,3.48,PH,1675818479
309,menongue,-14.6585,17.691,289.67,84,100,1.13,AO,1675818479
310,cortez,37.3489,-108.5859,273.57,57,0,1.54,US,1675818480
311,abu dhabi,24.4667,54.3667,297.16,35,0,2.06,AE,1675818246
312,griffith,41.5284,-87.4237,275.31,84,0,2.57,US,1675818480
313,port hawkesbury,45.6169,-61.3485,270.47,86,75,2.06,CA,1675818480
314,anda,46.4,125.3167,258.03,84,9,2.28,CN,1675818481
315,cabinda,-5.55,12.2,298.83,88,95,2.89,AO,1675818482
